Item	workerid	Rating	Partitive	StrengthSome	Mention	Subjecthood	Modification	Sentence	SentenceLength	Trial
18335:127	1	1	no	5	med	other	modified	just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have some old fruit trees.	31	1
18335:127	29	3	no	5	med	other	modified	just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have some old fruit trees.	31	1
18335:127	21	2	no	5	med	other	modified	just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have some old fruit trees.	31	1
88808:43	4	3	no	5.9	med	other	modified	although, um, i have also done oh, free lance magazine writing and some educational writing.	15	1
88808:43	8	1	no	5.9	med	other	modified	although, um, i have also done oh, free lance magazine writing and some educational writing.	15	1
88808:43	22	2	no	5.9	med	other	modified	although, um, i have also done oh, free lance magazine writing and some educational writing.	15	1
88808:43	28	2	no	5.9	med	other	modified	although, um, i have also done oh, free lance magazine writing and some educational writing.	15	1
88808:43	26	6	no	5.9	med	other	modified	although, um, i have also done oh, free lance magazine writing and some educational writing.	15	1
88808:43	6	6	no	5.9	med	other	modified	although, um, i have also done oh, free lance magazine writing and some educational writing.	15	1
88808:43	10	1	no	5.9	med	other	modified	although, um, i have also done oh, free lance magazine writing and some educational writing.	15	1
88808:43	30	1	no	5.9	med	other	modified	although, um, i have also done oh, free lance magazine writing and some educational writing.	15	1
88808:43	5	1	no	5.9	med	other	modified	although, um, i have also done oh, free lance magazine writing and some educational writing.	15	1
88808:43	19	1	no	5.9	med	other	modified	although, um, i have also done oh, free lance magazine writing and some educational writing.	15	1
148561:14	22	4	no	4.8	med	subject	unmodified	i mean, some people sing,	5	10
148561:14	25	4	no	4.8	med	subject	unmodified	i mean, some people sing,	5	10
148561:14	33	7	no	4.8	med	subject	unmodified	i mean, some people sing,	5	10
148561:14	9	6	no	4.8	med	subject	unmodified	i mean, some people sing,	5	10
148561:14	18	6	no	4.8	med	subject	unmodified	i mean, some people sing,	5	10
148561:14	26	3	no	4.8	med	subject	unmodified	i mean, some people sing,	5	10
148561:14	10	6	no	4.8	med	subject	unmodified	i mean, some people sing,	5	10
148561:14	30	7	no	4.8	med	subject	unmodified	i mean, some people sing,	5	10
148561:14	3	5	no	4.8	med	subject	unmodified	i mean, some people sing,	5	10
148561:14	20	7	no	4.8	med	subject	unmodified	i mean, some people sing,	5	10
176908:22	16	3	no	6.5	new	other	modified	and you say you have some strong feelings about, uh, the issue.	12	10
176908:22	11	2	no	6.5	new	other	modified	and you say you have some strong feelings about, uh, the issue.	12	10
176908:22	7	4	no	6.5	new	other	modified	and you say you have some strong feelings about, uh, the issue.	12	10
176908:22	12	1	no	6.5	new	other	modified	and you say you have some strong feelings about, uh, the issue.	12	10
176908:22	24	5	no	6.5	new	other	modified	and you say you have some strong feelings about, uh, the issue.	12	10
176908:22	32	1	no	6.5	new	other	modified	and you say you have some strong feelings about, uh, the issue.	12	10
176908:22	10	3	no	6.5	new	other	modified	and you say you have some strong feelings about, uh, the issue.	12	10
176908:22	30	1	no	6.5	new	other	modified	and you say you have some strong feelings about, uh, the issue.	12	10
176908:22	5	1	no	6.5	new	other	modified	and you say you have some strong feelings about, uh, the issue.	12	10
176908:22	17	7	no	6.5	new	other	modified	and you say you have some strong feelings about, uh, the issue.	12	10
34501:47	4	7	no	6.3	med	other	modified	but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,	24	10
34501:47	13	6	no	6.3	med	other	modified	but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,	24	10
34501:47	22	1	no	6.3	med	other	modified	but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,	24	10
34501:47	26	6	no	6.3	med	other	modified	but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,	24	10
34501:47	10	4	no	6.3	med	other	modified	but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,	24	10
34501:47	30	7	no	6.3	med	other	modified	but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,	24	10
34501:47	5	7	no	6.3	med	other	modified	but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,	24	10
34501:47	2	5	no	6.3	med	other	modified	but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,	24	10
34501:47	23	4	no	6.3	med	other	modified	but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,	24	10
34501:47	27	5	no	6.3	med	other	modified	but it was on a higher level, you know, where there were some things that kids didn't understand  that adults did  ,	24	10
1686:32	4	1	no	6.3	new	other	modified	and, uh, quite honestly, i, i have some little children	10	10
1686:32	14	1	no	6.3	new	other	modified	and, uh, quite honestly, i, i have some little children	10	10
1686:32	22	2	no	6.3	new	other	modified	and, uh, quite honestly, i, i have some little children	10	10
1686:32	15	3	no	6.3	new	other	modified	and, uh, quite honestly, i, i have some little children	10	10
1686:32	10	1	no	6.3	new	other	modified	and, uh, quite honestly, i, i have some little children	10	10
1686:32	30	1	no	6.3	new	other	modified	and, uh, quite honestly, i, i have some little children	10	10
1686:32	31	3	no	6.3	new	other	modified	and, uh, quite honestly, i, i have some little children	10	10
1686:32	1	1	no	6.3	new	other	modified	and, uh, quite honestly, i, i have some little children	10	10
1686:32	29	6	no	6.3	new	other	modified	and, uh, quite honestly, i, i have some little children	10	10
1686:32	21	5	no	6.3	new	other	modified	and, uh, quite honestly, i, i have some little children	10	10
9196:49	4	6	yes	5.4	med	other	unmodified	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	20	10
9196:49	8	5	yes	5.4	med	other	unmodified	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	20	10
9196:49	22	4	yes	5.4	med	other	unmodified	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	20	10
9196:49	28	7	yes	5.4	med	other	unmodified	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	20	10
9196:49	26	7	yes	5.4	med	other	unmodified	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	20	10
9196:49	6	3	yes	5.4	med	other	unmodified	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	20	10
9196:49	10	3	yes	5.4	med	other	unmodified	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	20	10
9196:49	30	1	yes	5.4	med	other	unmodified	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	20	10
9196:49	5	7	yes	5.4	med	other	unmodified	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	20	10
9196:49	19	7	yes	5.4	med	other	unmodified	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	20	10
24580:124	22	6	no	4.8	med	subject	modified	and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.	34	2
24580:124	25	3	no	4.8	med	subject	modified	and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.	34	2
24580:124	33	1	no	4.8	med	subject	modified	and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.	34	2
24580:124	9	1	no	4.8	med	subject	modified	and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.	34	2
24580:124	18	6	no	4.8	med	subject	modified	and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.	34	2
24580:124	26	6	no	4.8	med	subject	modified	and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.	34	2
24580:124	10	6	no	4.8	med	subject	modified	and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.	34	2
24580:124	30	2	no	4.8	med	subject	modified	and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.	34	2
24580:124	3	3	no	4.8	med	subject	modified	and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.	34	2
24580:124	20	6	no	4.8	med	subject	modified	and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some drug users behave, uh, normal , uh, you know.	34	2
68658:113	16	6	no	5.4	med	other	unmodified	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.	31	2
68658:113	11	7	no	5.4	med	other	unmodified	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.	31	2
68658:113	7	7	no	5.4	med	other	unmodified	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.	31	2
68658:113	12	5	no	5.4	med	other	unmodified	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.	31	2
68658:113	24	4	no	5.4	med	other	unmodified	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.	31	2
68658:113	32	7	no	5.4	med	other	unmodified	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.	31	2
68658:113	10	5	no	5.4	med	other	unmodified	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.	31	2
68658:113	30	6	no	5.4	med	other	unmodified	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.	31	2
68658:113	5	7	no	5.4	med	other	unmodified	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.	31	2
68658:113	17	3	no	5.4	med	other	unmodified	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people.	31	2
16209:29	4	3	no	5.5	new	other	unmodified	and i have two different kinds of breads and some ham	11	2
16209:29	13	1	no	5.5	new	other	unmodified	and i have two different kinds of breads and some ham	11	2
16209:29	22	2	no	5.5	new	other	unmodified	and i have two different kinds of breads and some ham	11	2
16209:29	26	2	no	5.5	new	other	unmodified	and i have two different kinds of breads and some ham	11	2
16209:29	10	4	no	5.5	new	other	unmodified	and i have two different kinds of breads and some ham	11	2
16209:29	30	1	no	5.5	new	other	unmodified	and i have two different kinds of breads and some ham	11	2
16209:29	5	1	no	5.5	new	other	unmodified	and i have two different kinds of breads and some ham	11	2
16209:29	2	6	no	5.5	new	other	unmodified	and i have two different kinds of breads and some ham	11	2
16209:29	23	2	no	5.5	new	other	unmodified	and i have two different kinds of breads and some ham	11	2
16209:29	27	3	no	5.5	new	other	unmodified	and i have two different kinds of breads and some ham	11	2
112844:32	4	6	no	6.4	med	other	modified	i have worked in anoth-, at some other ones that  were not very good in my opinion.	18	2
112844:32	14	7	no	6.4	med	other	modified	i have worked in anoth-, at some other ones that  were not very good in my opinion.	18	2
112844:32	22	1	no	6.4	med	other	modified	i have worked in anoth-, at some other ones that  were not very good in my opinion.	18	2
112844:32	15	3	no	6.4	med	other	modified	i have worked in anoth-, at some other ones that  were not very good in my opinion.	18	2
112844:32	10	6	no	6.4	med	other	modified	i have worked in anoth-, at some other ones that  were not very good in my opinion.	18	2
112844:32	30	1	no	6.4	med	other	modified	i have worked in anoth-, at some other ones that  were not very good in my opinion.	18	2
112844:32	31	3	no	6.4	med	other	modified	i have worked in anoth-, at some other ones that  were not very good in my opinion.	18	2
112844:32	1	1	no	6.4	med	other	modified	i have worked in anoth-, at some other ones that  were not very good in my opinion.	18	2
112844:32	29	5	no	6.4	med	other	modified	i have worked in anoth-, at some other ones that  were not very good in my opinion.	18	2
112844:32	21	3	no	6.4	med	other	modified	i have worked in anoth-, at some other ones that  were not very good in my opinion.	18	2
99256:38	4	7	yes	5.5	med	other	unmodified	and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.	22	2
99256:38	8	4	yes	5.5	med	other	unmodified	and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.	22	2
99256:38	22	6	yes	5.5	med	other	unmodified	and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.	22	2
99256:38	28	3	yes	5.5	med	other	unmodified	and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.	22	2
99256:38	26	7	yes	5.5	med	other	unmodified	and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.	22	2
99256:38	6	6	yes	5.5	med	other	unmodified	and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.	22	2
99256:38	10	3	yes	5.5	med	other	unmodified	and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.	22	2
99256:38	30	6	yes	5.5	med	other	unmodified	and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.	22	2
99256:38	5	7	yes	5.5	med	other	unmodified	and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.	22	2
99256:38	19	7	yes	5.5	med	other	unmodified	and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy.	22	2
89238:15	22	2	no	6.4	new	other	modified	and she was wanting some more information.	7	3
89238:15	25	1	no	6.4	new	other	modified	and she was wanting some more information.	7	3
89238:15	33	1	no	6.4	new	other	modified	and she was wanting some more information.	7	3
89238:15	9	1	no	6.4	new	other	modified	and she was wanting some more information.	7	3
89238:15	18	5	no	6.4	new	other	modified	and she was wanting some more information.	7	3
89238:15	26	1	no	6.4	new	other	modified	and she was wanting some more information.	7	3
89238:15	10	1	no	6.4	new	other	modified	and she was wanting some more information.	7	3
89238:15	30	1	no	6.4	new	other	modified	and she was wanting some more information.	7	3
89238:15	3	1	no	6.4	new	other	modified	and she was wanting some more information.	7	3
89238:15	20	7	no	6.4	new	other	modified	and she was wanting some more information.	7	3
86088:57	16	6	yes	5.9	med	other	unmodified	and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.	43	3
86088:57	11	6	yes	5.9	med	other	unmodified	and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.	43	3
86088:57	7	4	yes	5.9	med	other	unmodified	and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.	43	3
86088:57	12	3	yes	5.9	med	other	unmodified	and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.	43	3
86088:57	24	3	yes	5.9	med	other	unmodified	and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.	43	3
86088:57	32	1	yes	5.9	med	other	unmodified	and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.	43	3
86088:57	10	2	yes	5.9	med	other	unmodified	and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.	43	3
86088:57	30	1	yes	5.9	med	other	unmodified	and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.	43	3
86088:57	5	7	yes	5.9	med	other	unmodified	and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.	43	3
86088:57	17	4	yes	5.9	med	other	unmodified	and i, i think we may not have ever have seen that without some of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.	43	3
112290:7	4	6	yes	4.5	old	subject	unmodified	and some of those	4	3
112290:7	13	2	yes	4.5	old	subject	unmodified	and some of those	4	3
112290:7	22	6	yes	4.5	old	subject	unmodified	and some of those	4	3
112290:7	26	1	yes	4.5	old	subject	unmodified	and some of those	4	3
112290:7	10	5	yes	4.5	old	subject	unmodified	and some of those	4	3
112290:7	30	1	yes	4.5	old	subject	unmodified	and some of those	4	3
112290:7	5	6	yes	4.5	old	subject	unmodified	and some of those	4	3
112290:7	2	5	yes	4.5	old	subject	unmodified	and some of those	4	3
112290:7	23	5	yes	4.5	old	subject	unmodified	and some of those	4	3
112290:7	27	4	yes	4.5	old	subject	unmodified	and some of those	4	3
145433:59	4	4	no	6.3	med	other	unmodified	even with my gas card you know, i find that i'll go in  to get some gas	18	3
145433:59	14	7	no	6.3	med	other	unmodified	even with my gas card you know, i find that i'll go in  to get some gas	18	3
145433:59	22	2	no	6.3	med	other	unmodified	even with my gas card you know, i find that i'll go in  to get some gas	18	3
145433:59	15	4	no	6.3	med	other	unmodified	even with my gas card you know, i find that i'll go in  to get some gas	18	3
145433:59	10	1	no	6.3	med	other	unmodified	even with my gas card you know, i find that i'll go in  to get some gas	18	3
145433:59	30	7	no	6.3	med	other	unmodified	even with my gas card you know, i find that i'll go in  to get some gas	18	3
145433:59	31	2	no	6.3	med	other	unmodified	even with my gas card you know, i find that i'll go in  to get some gas	18	3
145433:59	1	7	no	6.3	med	other	unmodified	even with my gas card you know, i find that i'll go in  to get some gas	18	3
145433:59	29	5	no	6.3	med	other	unmodified	even with my gas card you know, i find that i'll go in  to get some gas	18	3
145433:59	21	2	no	6.3	med	other	unmodified	even with my gas card you know, i find that i'll go in  to get some gas	18	3
77398:5	4	7	yes	5.1	med	subject	modified	some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day	29	3
77398:5	8	3	yes	5.1	med	subject	modified	some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day	29	3
77398:5	22	7	yes	5.1	med	subject	modified	some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day	29	3
77398:5	28	4	yes	5.1	med	subject	modified	some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day	29	3
77398:5	26	6	yes	5.1	med	subject	modified	some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day	29	3
77398:5	6	6	yes	5.1	med	subject	modified	some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day	29	3
77398:5	10	5	yes	5.1	med	subject	modified	some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day	29	3
77398:5	30	2	yes	5.1	med	subject	modified	some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day	29	3
77398:5	5	7	yes	5.1	med	subject	modified	some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day	29	3
77398:5	19	7	yes	5.1	med	subject	modified	some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day	29	3
102781:19	22	2	no	6.8	new	other	unmodified	i went to dinner with some friends last weekend	9	4
102781:19	25	7	no	6.8	new	other	unmodified	i went to dinner with some friends last weekend	9	4
102781:19	33	7	no	6.8	new	other	unmodified	i went to dinner with some friends last weekend	9	4
102781:19	9	7	no	6.8	new	other	unmodified	i went to dinner with some friends last weekend	9	4
102781:19	18	7	no	6.8	new	other	unmodified	i went to dinner with some friends last weekend	9	4
102781:19	26	5	no	6.8	new	other	unmodified	i went to dinner with some friends last weekend	9	4
102781:19	10	1	no	6.8	new	other	unmodified	i went to dinner with some friends last weekend	9	4
102781:19	30	7	no	6.8	new	other	unmodified	i went to dinner with some friends last weekend	9	4
102781:19	3	1	no	6.8	new	other	unmodified	i went to dinner with some friends last weekend	9	4
102781:19	20	1	no	6.8	new	other	unmodified	i went to dinner with some friends last weekend	9	4
80692:12	16	4	no	5.7	new	other	modified	and you get some beautiful effects with them.	8	4
80692:12	11	2	no	5.7	new	other	modified	and you get some beautiful effects with them.	8	4
80692:12	7	7	no	5.7	new	other	modified	and you get some beautiful effects with them.	8	4
80692:12	12	2	no	5.7	new	other	modified	and you get some beautiful effects with them.	8	4
80692:12	24	1	no	5.7	new	other	modified	and you get some beautiful effects with them.	8	4
80692:12	32	1	no	5.7	new	other	modified	and you get some beautiful effects with them.	8	4
80692:12	10	1	no	5.7	new	other	modified	and you get some beautiful effects with them.	8	4
80692:12	30	7	no	5.7	new	other	modified	and you get some beautiful effects with them.	8	4
80692:12	5	1	no	5.7	new	other	modified	and you get some beautiful effects with them.	8	4
80692:12	17	3	no	5.7	new	other	modified	and you get some beautiful effects with them.	8	4
4490:19	4	6	no	6.4	med	other	modified	um, there's been some progressive medical schools  out here, that  have taken that approach.	16	4
4490:19	13	6	no	6.4	med	other	modified	um, there's been some progressive medical schools  out here, that  have taken that approach.	16	4
4490:19	22	4	no	6.4	med	other	modified	um, there's been some progressive medical schools  out here, that  have taken that approach.	16	4
4490:19	26	5	no	6.4	med	other	modified	um, there's been some progressive medical schools  out here, that  have taken that approach.	16	4
4490:19	10	6	no	6.4	med	other	modified	um, there's been some progressive medical schools  out here, that  have taken that approach.	16	4
4490:19	30	1	no	6.4	med	other	modified	um, there's been some progressive medical schools  out here, that  have taken that approach.	16	4
4490:19	5	7	no	6.4	med	other	modified	um, there's been some progressive medical schools  out here, that  have taken that approach.	16	4
4490:19	2	5	no	6.4	med	other	modified	um, there's been some progressive medical schools  out here, that  have taken that approach.	16	4
4490:19	23	5	no	6.4	med	other	modified	um, there's been some progressive medical schools  out here, that  have taken that approach.	16	4
4490:19	27	2	no	6.4	med	other	modified	um, there's been some progressive medical schools  out here, that  have taken that approach.	16	4
176346:41	4	1	no	6.9	med	other	unmodified	he crashed and killed some people because he was, uh, smoking some marijuana	13	4
176346:41	14	7	no	6.9	med	other	unmodified	he crashed and killed some people because he was, uh, smoking some marijuana	13	4
176346:41	22	2	no	6.9	med	other	unmodified	he crashed and killed some people because he was, uh, smoking some marijuana	13	4
176346:41	15	2	no	6.9	med	other	unmodified	he crashed and killed some people because he was, uh, smoking some marijuana	13	4
176346:41	10	1	no	6.9	med	other	unmodified	he crashed and killed some people because he was, uh, smoking some marijuana	13	4
176346:41	30	1	no	6.9	med	other	unmodified	he crashed and killed some people because he was, uh, smoking some marijuana	13	4
176346:41	31	3	no	6.9	med	other	unmodified	he crashed and killed some people because he was, uh, smoking some marijuana	13	4
176346:41	1	5	no	6.9	med	other	unmodified	he crashed and killed some people because he was, uh, smoking some marijuana	13	4
176346:41	29	6	no	6.9	med	other	unmodified	he crashed and killed some people because he was, uh, smoking some marijuana	13	4
176346:41	21	5	no	6.9	med	other	unmodified	he crashed and killed some people because he was, uh, smoking some marijuana	13	4
163367:85	4	1	no	6.3	new	other	modified	but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.	31	4
163367:85	8	3	no	6.3	new	other	modified	but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.	31	4
163367:85	22	1	no	6.3	new	other	modified	but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.	31	4
163367:85	28	4	no	6.3	new	other	modified	but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.	31	4
163367:85	26	1	no	6.3	new	other	modified	but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.	31	4
163367:85	6	3	no	6.3	new	other	modified	but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.	31	4
163367:85	10	1	no	6.3	new	other	modified	but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.	31	4
163367:85	30	6	no	6.3	new	other	modified	but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.	31	4
163367:85	5	1	no	6.3	new	other	modified	but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise some quick judgment in the field.	31	4
