Item,Sentence
39190:38,"i'd love  to have, have some animals."
169028:53,"uh, that 's kind of gone up in scale and, and some other things."
175702:23,"and i got a feeling that some of that was involved in the, uh, early decisions of the vietnam war. that the, uh, people saw the cold war as, uh, you had  to draw a line and, and defend it."
127596:32,"i've, i've done some water exercises,"
164095:28,"so we've been able  to do some real creative, uh, load hauling when called upon  ."
147477:43,"so, i, you know, you pick up some traits from her and stuff."
101121:88,"and schools now are supposed  to solve social problems, uh, mental and emotional problems as well as educate the kids and try  to provide them with some security."
103644:84,"i, i think, with solving some of the energy, future energy problems, we'll probably solve some of the pollution problems as well."
161001:72,"that's, that's, maybe that's, there's, uh, some credence in that statement."
31180:58,"and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what 's happening up there, you know, type thing."
171692:24,"and, uh, they've had some financial problems with the team and so forth."
145552:67,"and i, i guess there's some, there's, uh, uh, some negotiating there, too,"
128104:24,"i mean, they'll have some things  in there that  almost, almost, you know, like supernatural, or something, you know,"
103911:47,"and, and, it really isn't, for some people tha-, who  have been there for over, and over, and over, it really isn't, uh, as bad."
23861:130,"and if you like chinese food, you can take filet of fish and put a little bit of soy sauce and a little bit of sesame oil on top of it and chop some scallions and a little ginger and just cover it with some, uh, waxed paper and steam it just until the fish is done,"
164770:133,"one of the things that i found  interesting last year during the, uh, the gulf conflict was a sentiment against, uh, peter arnett, who  had stayed in iraq and was presenting, uh, some of the things that  were available."
78614:111,"i know that, uh, uh, one of, one thing that  happens to us to vacation trips now is that usually that try to involve some of the members of the family."
37768:13,cause i did some teaching part-time
89437:12,"and there were some others,"
32931:10,we planted some yellow peppers this year.
156697:32,i'm for it in in some cases.
53912:14,"i mean, some kids don't get don't get spanked  at home"
4795:25,"you know, i mean, some of these guys are forty years old and got ten convictions."
31080:8,"in some of those, you know, they, i guess they retitled some movies that  were going  to be about lebanese and, and, you know, and, and americans"
127919:39,"so i don't, i don't know some of those shows now, like i used  to."
174160:14,i've got some friends that  are lawyers
47855:7,and some of the people in our church use birth control
57643:110,"i'm convinced that, uh, detroit or whoever it is  made a major mistake, years ago when they stopped  putting the small v eights in and went to the fours and some of the sixes ."
78212:39,"and i know they do van pool a lot here from some of the outer areas,"
6686:28,"it would certainly help them to appreciate some of the things that we have  here and develop some pride in them, if it was handled  that way."
92249:38,"and it was, uh, just to, uh, have some fellowship with her."
9486:4,"some people say, uh, they, they like  to watch the changing of the seasons"
25479:56,"and, uh, we'll get out of the driving range and, and get some interest built  up"
9970:53,when they give you the freedom to take care of yourself  then that puts some responsibility on you as well.
153227:28,"because i mean i do think that some people need them and, like, for protection and stuff"
171919:12,"we do some cooking, some barbecueing, have a few drinks and then go in and see the game and see the patriots lose and then go home and eat, drink some more."
148200:15,"and then we have some church magazines,"
85252:8,"interestingly some of the information i've been reading  indicates that the amount of air pollution from, uh, uh, airplanes is extraordinary."
161185:14,"i do have some thoughts on that,"
60333:19,"my brother had asthma and some allergies which i think he's outgrown  now,"
22018:5,some of them are interested.
134033:13,"well, certainly some of the top end ones."
93477:92,"and then once, about once every three or four years i try  to get over to england, because i lived there for a while, some years back."
2335:27,"well, uh, maybe i am into some things  occasionally that i don't think of  in terms of self improvement."
43837:14,here's  some rocks sitting out in the middle of a field.
60926:36,and maybe i'll wet a fly line this year and do some camping if i don't get laid  off between now and then.
11929:60,"there, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight."
38936:13,"i've done some cross, um, cross stitch,"
161106:35,"they're banned  from, in some areas i understand ."
132696:166,"and then you just dip the carcass in, uh, boiling water, pull it out, and there's a, we use a little raspy brush,  pulls the hair off, and, uh, gut it, and, uh, just stick it down in a pit with some cloves and, uh, some pineapple, about three pineapples, you know, sliced them up, and, uh, cover him up with, uh, wet, uh, sacks, feed sacks is what i usually use  and then start a charcoal fire on top of him."
22933:25,"there's also, you know, some private ones, you know"
48582:11,"i know some people who  just,"
13056:42,"i think my parents have have, uh, some of his records."
125903:18,"but um, there are some parts during that exercise that i think, i can not do another second of this ."
174932:42,"and while i don't do any drugs myself, i've seen some people who  work there, uh, you know, smoking a joint or whatever."
56683:20,"and, uh, i have some friends that  live down there."
154094:15,we have gotten some of our loans paid  off really because of this and stuff like that
55028:10,"uh, some of them didn't"
28734:50,i used  to do a lot of basketball and running and volleyball until i had some knee surgery last fall.
131722:36,"i probably need  to take some, some more lessons, uh, more current and, uh, and practice more often."
164259:34,"but, i think you have  to accept some of the errors."
74649:24,"you know, if there's some gauge that they could make ."
132933:5,some of the cars that i got  were like the toyota camry and the nissan maxima and some of the competitors
120456:22,and i just started  ordering some parts
170188:13,we actually do some work with some people down at georgia tech.
12194:43,"well you might, uh, generate some yeah, you might generate some interest in it."
113793:23,"and, uh, seems like some rather large chunks of money could come from, from that direction."
134479:41,"i, i, i worked on some of it at t i once upon a time."
161487:13,so you got some lakes around you can do that on .
80499:4,some people are a little bit fanatical about it.
158511:44,"i think, i think there's definitely been some changes, um,"
15870:42,and then i also had a friend who  was just around some people that  were smoking cocaine.
120455:20,"and they had, uh, some names, some companies that  sold mustang parts,"
56417:25,oh. you ought  to try some crawfish.
55920:12,and we got some great public works out of it.
145722:97,"i didn't, you know, i, i didn't even know their names, some of the two or three generations back and some of the aunts and uncles"
115916:39,"but, uh, there's, uh, some, some stuff that i want  to do  with like sierra club and go down to grand canyon or something like that."
27507:15,"and then they wanted some gray to do the,  to do the trim."
171283:28,"some, some cases in some jurisdictions, they can do that."
155408:25,so so there is some good to it.
147340:7,"and some of them are limited care  too where people can do, uh,"
116940:96,"well, maybe this thing with, with the child at school, maybe that will make people think a bit more and, you know, take some steps  to, to correct it."
159146:13,"you know some of the health insurance is written  that way. you know, that, uh, if you buy an accident and death or dismemberment policy, you know, it s-, pre specified in the policy so much"
171283:17,"some, some cases in some jurisdictions, they can do that."
2454:46,"and where we are  now, what we're doing  is some very big lawsuits that  happen  to have a heck of a lot of boxes of documents."
22799:53,"but, um, we kind of thought that maybe they just wanted  to give him some medication to sort of, you know keep him real out of it all the time"
166169:26,"i do know for a fact that some of the teachers that i know  personally get paid  an awful lot more than,"
146091:18,"um, i've done some cross stitching."
161668:20,"you actually, some catamarans you can actually pull people  behind , the skiers,"
74580:17,"that's, uh, some pretty good ideas."
30391:26,"we have, you know, used some of it for some personal things."
30872:58,"it was really, i mean the hollywood really must think there's some real dummies out there or something."
168576:39,"and, uh i can imagine that, uh, uh, for some people it would be the only form of justice in that case."
104255:44,"does it, does it offer, like band, or some of the instruments."
30987:12,but they changed some things in the movie.
141909:6,"or some things are, um, you know,"
9455:69,"well, i mean, i, i, i guess i've been in some places, you know, where the weather was just so mild , you know, places like monterey, california or, you know,"
140415:37,"um, well before we built our home we were managing some apartments that we were living in ,"
86455:28,"and you, there were some places, where people, defini-,"
112637:73,"i would like  to do that  as a, as a family and, and some t v watching."
1214:19,"i put a stop to some of them as far as the door to door, either religious groups, or people peddling products."
21123:14,"i think some of the tones of the, the daily prime time is questionable,"
22656:29,"so, we thought well, maybe there are some crab in here,"
130807:72,"and one way that we do it sort of in, in iowa  is that we can take some of our clothes to the consignment shops."
157516:9,"and in some cases if it's a long trial, the desire  of people  to get out of there and not be stuck  in there for a very long time, that people are changing their minds for the wrong reasons."
97584:19,well hopefully i can do some consulting work at home.
29227:52,"i, uh, i think we both agree there's some problems there"
95651:89,"so, i, i, uh, i, i, i feel like it should be mandatory in some professions,"
126348:16,"i guess in some cases they just consider  pickup your, your phone and, and, and not let you use your phone for a while whether you hang up on them or not."
110384:95,"but i've really noticed that there are a lot of, uh, a lot more people that  are more comfortable, at least, with some women being home and, at least in the circles i've travelled  and in the church that i go to , you know,"
164345:22,"well, i think that in some cases, it is warranted."
19474:11,they had some real fancy names for them.
31480:39,"but i would think that, um, that some guidelines could be set  up to avoid that."
78294:14,"they've had some terrible problems with hispanics,"
57998:87,"i-, if they could just cut out all the fat and, and get it lean, and start  addressing some of the other issues, i think  we could take care of everything. and quit  taking care of all these other countries all across the world, you know, who  just end up  using things against us later on anyway."
44952:36,"i mean, i'm sure you heard about some of ours."
92394:53,"i mean, there there's a little bit, because there's some of those english words that you just don't exactly know what they mean  ,"
79761:35,"and he said, um, let's give her some race horse shots."
112058:22,"i sometimes have a problem with some of the, especially more famous people who  all of a sudden are crawling out of the woodwork  to say that whatever problems they have , you know, was, was because they were abused a-, abused  as children."
155521:29,and i i've seen some of them like that too
87654:14,"i guess some of the best things i've ever had , um, i, some of them were just hors d'oeuvres, you know."
41388:61,"i think there was four or five different people, that  would call, you know, some of them, if they didn't have their addresses and all on them,"
32577:19,"next year i was planting some broccoli and, and some of those, they're called  cabbage,  cabbage loppers, or whatever."
29678:24,people say let me see some of your work.
85881:104,"i guess we're going  to have a lot of parades  this weekend in honor of these guys that  are, that  did some stuff over in the gulf."
109712:50,"but the trucks that  were supposed to do it, there's been some problems with  from what i've read  in, you know, the mail that we get"
139879:19,"well, you've got some experience behind you in the work force."
97813:26,"and, you know, maybe do some free lance type work at home."
156465:52,"i mean, it  seems absurd that people will pay, you know, some bucks just  to get someone to,"
170859:54,"uh, i've had, uh, three boys  through, i guess, uh, some child care, each one of them"
31279:10,do some things that  are totally different and unheard of.
121757:115,"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."
39653:15,and you can put some cucumber slices on too.
6581:42,"but i guess, they, you could put some money  aside while you were there, your expenses and,"
156671:38,"but if you could find a way to prevent some of it , and i'm not sure what it would be . it would be money better  spent than,"
63704:23,"now, okay, we run into some problems once,"
146662:13,and there are some fire stations i can take newspapers to
20307:42,i thought maybe you had come from somewhere else and had some experience with taxes there.
81221:70,"i think you have to let, yo-, you got  to segregate some of it."
95645:41,"well, i, i feel in light of some of the accidents and so forth that  have happened lately, that i think there are some occupations that they should, such as the health field, the transportation field, uh,"
146544:24,"i do think that there are some significant kinds of things to to look for  , you know, if you are faced  with placing someone. in a place like that, uh, you know, aside from the cleanliness and the medical care that  is offered  and such"
136383:15,or you been doing some remodeling work on it.
81838:54,"so it 's kind of hard at that point to, you know, classify some of the builders."
160994:25,"but there's some also some, uh, not so smart ones."
83056:37,"uh, we're probably making a comparison against, uh, some european and, uh, and, uh, uh, s-s-say, newer republics that, uh, that  have very high percentages."
97004:103,"because, uh, i, i guess i placed all but one or two of my calls. and, uh, only because i going  to make some money,"
15155:80,"i mean, and it 's nice to, to try  to teach young people some, some, uh, uh, civil, uh, consciousness,"
30504:13,and we have some education programs that he likes .
39049:23,"in the winter time i usually plant some pansies in there,"
84185:16,now i have got some daffodils.
24056:22,but i know there are some fields where it's really not necessary .
135381:35,"to me, half the time it's more fascinating than some of these made up stories."
155741:63,"i think by  putting term limitations on you could, you could slow down some of the problems."
67111:87,"and some, some of the people, uh, some of the higher dollars lawyers and stuff downtown too, are picking up some of those great big houses,"
20734:79,"they'll help you, recycle, because we, there is some bins, like behind wal-mart, that  take some things."
149904:6,"and some superficial type damage,"
118753:13,i think in some ways that  they need  to be more careful of the teachers that they hire .
117354:63,"i just still have need for the four bedrooms  just having company from time to time. and some of them coming back home and things, you know."
72832:14,there may be some schools you could read about  and learn.
129171:26,what do you feel  are some of the main problems.
56317:78,"and while that's cooking, i take mayonnaise, about a cup of mayonnaise, and a teaspoon of mustard, and some garlic powder,"
91286:72,"yet, like, say, you know, the university of small town in arkansas or something, might have some top specialists in my area."
146901:36,"because i had some appointments at the office  today, some interviews"
129083:10,they have some good management principals in this new generation.
80278:17,it's just some of those women that  come up there  looking like arnold schwarzenegger's sister just doesn't get it.
130276:4,"some people,"
15749:21,"well, now, we had some friends that  went  to see it"
63108:7,"and some of them require me to go out of town,"
95586:13,it's got some pretty strong competitors.
36621:7,but some of them are really nice
107709:28,and i think we'll probably experience some of your weather although i think they have more humidity.
138943:28,"you may get a cold snap or two or some rain or something like we've been getting  in december,"
112498:14,and save you some money too.
36613:5,some of them are pretty rough.
11767:21,"and i hope you enjoy some more good movies late-,"
38898:13,and i did some of that.
35576:25,"and i was picking up, uh, some background noise,"
114610:10,we get some killer winters up here in the mountains.
121757:169,"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."
1843:22,"i mean i've heard some songs that, that i just thought  were horrendous cover versions of,"
56109:69,"it 's just probably a good thing that the oil's burning and may, may, make some people realize that hey, you know, this stuff runs out."
155092:75,"well our situation is just a little bit, kind of the opposite of that cause my wife was not working for some time and was going to school and just recently, uh, took on a full time job,"
126761:25,"e-, even in some families some people talk a little bit different."
177328:13,"i've done some other things too. uh, you know."
13977:49,"i think they should either do that, or, or afford some time to the military, or, or  helping elderly people."
176960:92,"at the bottom end, they, uh, are always willing  to, uh, let in cheap labor if it lowers the cost of doing business in some particular area and has strong support from the, powerful people in that area."
55386:25,and he's had his problems with some of the old guard himself.
170740:34,because i know my grandparents wanted  to have some independence still.
38927:18,but i have recently done some cross stitch.
169939:81,"and it didn't look like, uh, you know, how, yo-, you, you walk into some rooms  and there's, it's completely generic."
126761:30,"e-, even in some families some people talk a little bit different."
156938:9,"but in some cases, yes."
31278:24,maybe there need  to be some radical changes made.
10841:72,"but, uh, uh, it, it did show some, some, uh, some interesting things about the f b i"
16319:19,go  buy me some strawberries.
75552:115,"it's kind of scary when i think of what  will happen in twenty years, you know, when i have kids and they're grown  and, uh, just kind of some of the changes that  will happen even more"
56842:9,"uh, some countries voting is obligatory."
53389:28,"i, sometimes i hear some things on, on the radio."
130958:7,but some of those are pretty big.
108790:33,"and then some of it is, some of it actually gets into some serious discussions of problems in our, in urban society."
166774:13,but there's some of the day-to-day needs that they just are not able  to deal with  physically anymore.
30001:7,"but some things, especially letters, if they suggest certain colors for letters, i just go with whatever i want  to ."
163414:55,"i guess i k-, i think it's got some relevance,"
94780:11,"and, uh some people do"
8866:65,"and that, oh, i guess, ranges anywhere from, uh, carpentry work to, um, um, some types of furniture and, um, oh, i don't know what you would call them , knickknacks, i guess, stuff you hang  on the wall  to put a mirror on"
122706:39,where they may have just had a teaching major and then had some social studies courses
111758:13,"and i had some time off in the afternoon,"
90051:29,"so, i told them he strangled on some chicken"
35130:35,"i sit, i sit and watch some shows,"
2199:135,"and they did an analysis  for us based on what we were putting  in and the time frame that we wanted  to look at , and then gave us a good idea back, you know, some good information  back on whether or not we were going  to achieve those goals, and, or not, and what we needed  to do  so that we could achieve them and the money we could put  in at what time."
72090:7,and some of them are real short
134176:70,"and we'll let them try  to drink out of some of the lakes and try  to fish in some of the lakes that  have been suffering from, uh, the, uh, acid rain"
109394:16,"but i guess some of the other smaller colleges might, might be a lot different."
47430:120,"speaking of bush, we're going  to get a little off topic but speaking of bush, they that had a story where he went  to visit some little, uh, elementary school students, and stuff ."
34149:38,"you can go down and shoot up against a sand bag and some targets and have, uh, competition."
132454:18,it beats memberships at some of these clubs.
107258:36,and i think though that we need  to have some liquid  around that you don't have  to go through the company  to get .
102016:6,and some hard-boiled eggs.
99170:29,"i, i think some of the dress codes are different at different schools."
158120:17,"like say some young kids or something like that that  might be inclined more towards a life of crime, had  to sit and watch and, and see a guy burn or, or, you know, something or shot  by a firing squad or something like that."
89068:107,"but, uh, so when you are first going to school  that, you kind of have the luxury of  being able  to have some latitude in choosing the place to go ."
131517:11,"especially in some of these schools around here, i think they have about twenty percent older students."
96870:36,"they were. i was listening to some of the comments on ra-, television  the other day, uh, about it,"
94784:6,and some people don't.
51562:11,they had some other expenses that  came up
