Time,Participant,Condition,Item,Response.orig,Response,RT,Weaker,Stronger,Sentence frame,scalar_construction,scalar_construction_prefix
1615670373,15747ac9317be0d944d63f71361af567,ESI,1,Yes.,1,3983,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670381,c990467380156c81e13f3f24f7d03cac,ESI,1,Yes.,1,7041,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670470,f6c69fed535edb9c17b53ed006f9ee6e,ESI,1,Yes.,1,4278,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670475,8846abd3699fa6ac62b79f57605c63a2,ESI,1,Yes.,1,3545,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670693,9aaca64782b1454fa11c95dcf7c182b3,ESI,1,Yes.,1,8613,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670805,db610f73c53e8a3eb5cf2c3478a83f92,ESI,1,Yes.,1,3036,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670872,b3f6e1489b9ca394a6d041b6580ce795,ESI,1,Yes.,1,4717,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670877,2279048d0f20208c66d6ebf3e0c3f214,ESI,1,Yes.,1,2927,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615670975,3e059dc6361b6f3084cb5f3212cb4419,ESI,1,Yes.,1,3480,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615671098,0d0b3abbe352b34aa59b4a5ef6b5dd67,ESI,1,No.,0,21582,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615671153,4895f0fd9638cd53916a306dacc78ad9,ESI,1,Yes.,1,4432,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615671237,45e427b66eed558aeb3a082711b42602,ESI,1,Yes.,1,10760,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615672074,7fd614b6f584d6d57b894acb1d752df2,ESI,1,Yes.,1,3432,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615672780,745f487ece4b604ffc7f190fed2dfe56,ESI,1,No.,0,7830,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615673131,282c2204b26e19c4d725dbf4191d8355,ESI,1,No.,0,11028,allowed,obligatory,Drinking is allowed.,"Drinking is allowed, but not obligatory.","Drinking is allowed, but not "
1615662809,719c301bdcd2357a19a8142b70de012c,ESI,2,No.,0,3709,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615662953,f981c6fcab294dcc3b33cedef49ae4bd,ESI,2,No.,0,1696,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615663035,bd1fdd2adccc3a9d7a481317727ff96e,ESI,2,No.,0,2747,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615663245,b981462144525ca196fda66f6810f02e,ESI,2,No.,0,3987,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615668280,e15d0569159051f0b33deff1c830134b,ESI,2,No.,0,1835,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615668430,42b311f09b96fc344f2c6e3af4a14503,ESI,2,No.,0,4617,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615668658,f291de33e558d978a70537d0e62d483c,ESI,2,No.,0,7601,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615668685,be4e8d0be017435b4c23b082606a51a5,ESI,2,No.,0,4143,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615668744,e88be932185082540d96daffce2556dc,ESI,2,No.,0,3394,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1620000000,031e6385409fd8dc8abe6a3ad061c8bb,ESI,2,No.,0,24951,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615668970,38623486e30ff1dbd78928529537a036,ESI,2,No.,0,2414,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615668994,2241ca8b786deac7f57ec72f1f8bd782,ESI,2,Yes.,1,8884,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615669013,c882471fa5b43f3e97acb82b089c3a1b,ESI,2,No.,0,5432,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615669681,d66fa44744dcf7d8b83ff007d988caec,ESI,2,No.,0,1705,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615669687,5ce8c300725ae303b123f21f51304fe9,ESI,2,No.,0,2800,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615669699,63fb01b8f411c380be7e50a317b0990a,ESI,2,No.,0,2394,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615669765,88f1041932e3d4ee048e1477da67c432,ESI,2,No.,0,2152,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615669909,52f98c4e327d1934a4fc34638444a68a,ESI,2,No.,0,3568,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615669915,ba221f80c6be1fda45d30519339cfe97,ESI,2,No.,0,3493,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615669924,a47485926b6cabf0ff72a91afea32f53,ESI,2,No.,0,2860,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615669959,94ebb44774f832a31efb0eae02c17a3d,ESI,2,No.,0,1738,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670095,7c024023336d4faca9d1d22f7d3b87a3,ESI,2,No.,0,3332,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670145,b265fadeae4df674e0d98a0ce8ca0c8f,ESI,2,No.,0,2729,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670155,f626705eb9bd41dbead310269fa6beeb,ESI,2,No.,0,4955,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670256,3ed4b1c43f82421d2953381e687dff16,ESI,2,Yes.,1,4064,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670373,15747ac9317be0d944d63f71361af567,ESI,2,No.,0,2670,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670381,c990467380156c81e13f3f24f7d03cac,ESI,2,No.,0,6392,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670470,f6c69fed535edb9c17b53ed006f9ee6e,ESI,2,No.,0,3238,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670475,8846abd3699fa6ac62b79f57605c63a2,ESI,2,No.,0,4026,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670693,9aaca64782b1454fa11c95dcf7c182b3,ESI,2,No.,0,8276,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670805,db610f73c53e8a3eb5cf2c3478a83f92,ESI,2,No.,0,1980,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670872,b3f6e1489b9ca394a6d041b6580ce795,ESI,2,No.,0,2547,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670877,2279048d0f20208c66d6ebf3e0c3f214,ESI,2,No.,0,3033,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615670975,3e059dc6361b6f3084cb5f3212cb4419,ESI,2,No.,0,29981,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615671098,0d0b3abbe352b34aa59b4a5ef6b5dd67,ESI,2,No.,0,13538,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615671153,4895f0fd9638cd53916a306dacc78ad9,ESI,2,No.,0,7691,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615671237,45e427b66eed558aeb3a082711b42602,ESI,2,No.,0,10159,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615672074,7fd614b6f584d6d57b894acb1d752df2,ESI,2,No.,0,7420,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615672780,745f487ece4b604ffc7f190fed2dfe56,ESI,2,No.,0,2533,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615673131,282c2204b26e19c4d725dbf4191d8355,ESI,2,No.,0,7338,attractive,stunning,This model is attractive.,"This model is attractive, but not stunning.","This model is attractive, but not "
1615662809,719c301bdcd2357a19a8142b70de012c,ESI,3,No.,0,6404,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615662953,f981c6fcab294dcc3b33cedef49ae4bd,ESI,3,No.,0,2156,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615663035,bd1fdd2adccc3a9d7a481317727ff96e,ESI,3,No.,0,7479,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615663245,b981462144525ca196fda66f6810f02e,ESI,3,No.,0,5687,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615668280,e15d0569159051f0b33deff1c830134b,ESI,3,No.,0,5275,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615668430,42b311f09b96fc344f2c6e3af4a14503,ESI,3,No.,0,4909,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615668658,f291de33e558d978a70537d0e62d483c,ESI,3,No.,0,6487,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615668685,be4e8d0be017435b4c23b082606a51a5,ESI,3,Yes.,1,3474,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615668744,e88be932185082540d96daffce2556dc,ESI,3,No.,0,2959,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1620000000,031e6385409fd8dc8abe6a3ad061c8bb,ESI,3,No.,0,3604,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615668970,38623486e30ff1dbd78928529537a036,ESI,3,No.,0,5075,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615668994,2241ca8b786deac7f57ec72f1f8bd782,ESI,3,No.,0,9836,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615669013,c882471fa5b43f3e97acb82b089c3a1b,ESI,3,No.,0,5115,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615669681,d66fa44744dcf7d8b83ff007d988caec,ESI,3,No.,0,1541,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615669687,5ce8c300725ae303b123f21f51304fe9,ESI,3,No.,0,3977,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615669699,63fb01b8f411c380be7e50a317b0990a,ESI,3,No.,0,4020,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615669765,88f1041932e3d4ee048e1477da67c432,ESI,3,No.,0,1532,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615669909,52f98c4e327d1934a4fc34638444a68a,ESI,3,No.,0,4848,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615669915,ba221f80c6be1fda45d30519339cfe97,ESI,3,No.,0,9444,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615669924,a47485926b6cabf0ff72a91afea32f53,ESI,3,No.,0,4058,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615669959,94ebb44774f832a31efb0eae02c17a3d,ESI,3,Yes.,1,10650,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670095,7c024023336d4faca9d1d22f7d3b87a3,ESI,3,No.,0,6049,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670145,b265fadeae4df674e0d98a0ce8ca0c8f,ESI,3,Yes.,1,2744,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670155,f626705eb9bd41dbead310269fa6beeb,ESI,3,Yes.,1,5372,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670256,3ed4b1c43f82421d2953381e687dff16,ESI,3,Yes.,1,4741,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670373,15747ac9317be0d944d63f71361af567,ESI,3,No.,0,2658,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670381,c990467380156c81e13f3f24f7d03cac,ESI,3,No.,0,7184,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670470,f6c69fed535edb9c17b53ed006f9ee6e,ESI,3,No.,0,3297,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670475,8846abd3699fa6ac62b79f57605c63a2,ESI,3,No.,0,4874,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670693,9aaca64782b1454fa11c95dcf7c182b3,ESI,3,No.,0,5623,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670805,db610f73c53e8a3eb5cf2c3478a83f92,ESI,3,No.,0,7526,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670872,b3f6e1489b9ca394a6d041b6580ce795,ESI,3,Yes.,1,4023,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670877,2279048d0f20208c66d6ebf3e0c3f214,ESI,3,Yes.,1,19864,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615670975,3e059dc6361b6f3084cb5f3212cb4419,ESI,3,No.,0,8187,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615671098,0d0b3abbe352b34aa59b4a5ef6b5dd67,ESI,3,No.,0,8083,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615671153,4895f0fd9638cd53916a306dacc78ad9,ESI,3,No.,0,8953,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615671237,45e427b66eed558aeb3a082711b42602,ESI,3,No.,0,8298,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615672074,7fd614b6f584d6d57b894acb1d752df2,ESI,3,Yes.,1,25758,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615672780,745f487ece4b604ffc7f190fed2dfe56,ESI,3,No.,0,10587,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615673131,282c2204b26e19c4d725dbf4191d8355,ESI,3,No.,0,11166,begin,complete,John began the race.,"John began the race, but did not complete it.","John began the race, but did not "
1615662809,719c301bdcd2357a19a8142b70de012c,ESI,4,Yes.,1,11237,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615662953,f981c6fcab294dcc3b33cedef49ae4bd,ESI,4,Yes.,1,3592,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615663035,bd1fdd2adccc3a9d7a481317727ff96e,ESI,4,No.,0,4785,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615663245,b981462144525ca196fda66f6810f02e,ESI,4,Yes.,1,5389,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615668280,e15d0569159051f0b33deff1c830134b,ESI,4,No.,0,4757,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615668430,42b311f09b96fc344f2c6e3af4a14503,ESI,4,Yes.,1,4619,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615668658,f291de33e558d978a70537d0e62d483c,ESI,4,No.,0,17814,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615668685,be4e8d0be017435b4c23b082606a51a5,ESI,4,Yes.,1,6172,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615668744,e88be932185082540d96daffce2556dc,ESI,4,Yes.,1,6177,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1620000000,031e6385409fd8dc8abe6a3ad061c8bb,ESI,4,Yes.,1,5183,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615668970,38623486e30ff1dbd78928529537a036,ESI,4,Yes.,1,6994,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615668994,2241ca8b786deac7f57ec72f1f8bd782,ESI,4,Yes.,1,2684,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615669013,c882471fa5b43f3e97acb82b089c3a1b,ESI,4,No.,0,8423,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615669681,d66fa44744dcf7d8b83ff007d988caec,ESI,4,Yes.,1,1419,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615669687,5ce8c300725ae303b123f21f51304fe9,ESI,4,Yes.,1,5559,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615669699,63fb01b8f411c380be7e50a317b0990a,ESI,4,Yes.,1,5770,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615669765,88f1041932e3d4ee048e1477da67c432,ESI,4,Yes.,1,6604,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615669909,52f98c4e327d1934a4fc34638444a68a,ESI,4,No.,0,4129,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615669915,ba221f80c6be1fda45d30519339cfe97,ESI,4,No.,0,8136,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615669924,a47485926b6cabf0ff72a91afea32f53,ESI,4,No.,0,6998,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615669959,94ebb44774f832a31efb0eae02c17a3d,ESI,4,No.,0,4835,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670095,7c024023336d4faca9d1d22f7d3b87a3,ESI,4,Yes.,1,7008,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670145,b265fadeae4df674e0d98a0ce8ca0c8f,ESI,4,Yes.,1,4718,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670155,f626705eb9bd41dbead310269fa6beeb,ESI,4,No.,0,3821,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670256,3ed4b1c43f82421d2953381e687dff16,ESI,4,Yes.,1,5067,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670373,15747ac9317be0d944d63f71361af567,ESI,4,Yes.,1,4886,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670381,c990467380156c81e13f3f24f7d03cac,ESI,4,Yes.,1,15082,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670470,f6c69fed535edb9c17b53ed006f9ee6e,ESI,4,Yes.,1,4141,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670475,8846abd3699fa6ac62b79f57605c63a2,ESI,4,Yes.,1,19968,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670693,9aaca64782b1454fa11c95dcf7c182b3,ESI,4,No.,0,7713,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670805,db610f73c53e8a3eb5cf2c3478a83f92,ESI,4,No.,0,6019,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670872,b3f6e1489b9ca394a6d041b6580ce795,ESI,4,No.,0,419986,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670877,2279048d0f20208c66d6ebf3e0c3f214,ESI,4,Yes.,1,16049,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615670975,3e059dc6361b6f3084cb5f3212cb4419,ESI,4,No.,0,3185,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615671098,0d0b3abbe352b34aa59b4a5ef6b5dd67,ESI,4,No.,0,9079,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615671153,4895f0fd9638cd53916a306dacc78ad9,ESI,4,Yes.,1,14035,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615671237,45e427b66eed558aeb3a082711b42602,ESI,4,No.,0,12108,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615672074,7fd614b6f584d6d57b894acb1d752df2,ESI,4,Yes.,1,7248,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615672780,745f487ece4b604ffc7f190fed2dfe56,ESI,4,Yes.,1,31542,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615673131,282c2204b26e19c4d725dbf4191d8355,ESI,4,Yes.,1,18315,believe,know,The teacher believes it is true.,"The teacher believes it is true, but does not know.","The teacher believes it is true, but does not "
1615662809,719c301bdcd2357a19a8142b70de012c,ESI,5,No.,0,5156,big,enormous,The elephant is big.,"The elephant is big, but not enormous.","The elephant is big, but not "
1615662953,f981c6fcab294dcc3b33cedef49ae4bd,ESI,5,No.,0,2282,big,enormous,The elephant is big.,"The elephant is big, but not enormous.","The elephant is big, but not "
